Metric,Period_Type_Raw,Amount,Fiscal Year,Fiscal Quarter
Products,Current Quarter,61564.0,2024,Q4
Services,Current Quarter,24213.0,2024,Q4
Total net sales,Current Quarter,85777.0,2024,Q4
Products,Current Quarter,39803.0,2024,Q4
Services,Current Quarter,6296.0,2024,Q4
Gross margin,Current Quarter,39678.0,2024,Q4
Research and development,Current Quarter,8006.0,2024,Q4
"Selling, general and administrative",Current Quarter,6320.0,2024,Q4
Total operating expenses,Current Quarter,14326.0,2024,Q4
Operating income,Current Quarter,25352.0,2024,Q4
Net income,Current Quarter,21448.0,2024,Q4
Products,Prior Year Quarter,60584.0,2024,Q4
Services,Prior Year Quarter,21213.0,2024,Q4
Total net sales,Prior Year Quarter,81797.0,2024,Q4
Products,Prior Year Quarter,39136.0,2024,Q4
Services,Prior Year Quarter,6248.0,2024,Q4
Gross margin,Prior Year Quarter,36413.0,2024,Q4
Research and development,Prior Year Quarter,7442.0,2024,Q4
"Selling, general and administrative",Prior Year Quarter,5973.0,2024,Q4
Total operating expenses,Prior Year Quarter,13415.0,2024,Q4
Operating income,Prior Year Quarter,22998.0,2024,Q4
Net income,Prior Year Quarter,19881.0,2024,Q4
Products,Current YTD,224908.0,2024,Q4
Services,Current YTD,71197.0,2024,Q4
Total net sales,Current YTD,296105.0,2024,Q4
Products,Current YTD,140667.0,2024,Q4
Services,Current YTD,18634.0,2024,Q4
Gross margin,Current YTD,136804.0,2024,Q4
Research and development,Current YTD,23605.0,2024,Q4
"Selling, general and administrative",Current YTD,19574.0,2024,Q4
Total operating expenses,Current YTD,43179.0,2024,Q4
Operating income,Current YTD,93625.0,2024,Q4
Net income,Current YTD,79000.0,2024,Q4
Products,Prior Year YTD,230901.0,2024,Q4
Services,Prior Year YTD,62886.0,2024,Q4
Total net sales,Prior Year YTD,293787.0,2024,Q4
Products,Prior Year YTD,146696.0,2024,Q4
Services,Prior Year YTD,18370.0,2024,Q4
Gross margin,Prior Year YTD,128721.0,2024,Q4
Research and development,Prior Year YTD,22608.0,2024,Q4
"Selling, general and administrative",Prior Year YTD,18781.0,2024,Q4
Total operating expenses,Prior Year YTD,41389.0,2024,Q4
Operating income,Prior Year YTD,87332.0,2024,Q4
Net income,Prior Year YTD,74039.0,2024,Q4
Products,Current Quarter,61564.0,2024,Q3
Services,Current Quarter,24213.0,2024,Q3
Total net sales,Current Quarter,85777.0,2024,Q3
Products,Current Quarter,39803.0,2024,Q3
Services,Current Quarter,6296.0,2024,Q3
Gross margin,Current Quarter,39678.0,2024,Q3
Research and development,Current Quarter,8006.0,2024,Q3
"Selling, general and administrative",Current Quarter,6320.0,2024,Q3
Total operating expenses,Current Quarter,14326.0,2024,Q3
Operating income,Current Quarter,25352.0,2024,Q3
Net income,Current Quarter,21448.0,2024,Q3
Products,Prior Year Quarter,60584.0,2024,Q3
Services,Prior Year Quarter,21213.0,2024,Q3
Total net sales,Prior Year Quarter,81797.0,2024,Q3
Products,Prior Year Quarter,39136.0,2024,Q3
Services,Prior Year Quarter,6248.0,2024,Q3
Gross margin,Prior Year Quarter,36413.0,2024,Q3
Research and development,Prior Year Quarter,7442.0,2024,Q3
"Selling, general and administrative",Prior Year Quarter,5973.0,2024,Q3
Total operating expenses,Prior Year Quarter,13415.0,2024,Q3
Operating income,Prior Year Quarter,22998.0,2024,Q3
Net income,Prior Year Quarter,19881.0,2024,Q3
Products,Current YTD,224908.0,2024,Q3
Services,Current YTD,71197.0,2024,Q3
Total net sales,Current YTD,296105.0,2024,Q3
Products,Current YTD,140667.0,2024,Q3
Services,Current YTD,18634.0,2024,Q3
Gross margin,Current YTD,136804.0,2024,Q3
Research and development,Current YTD,23605.0,2024,Q3
"Selling, general and administrative",Current YTD,19574.0,2024,Q3
Total operating expenses,Current YTD,43179.0,2024,Q3
Operating income,Current YTD,93625.0,2024,Q3
Net income,Current YTD,79000.0,2024,Q3
Products,Prior Year YTD,230901.0,2024,Q3
Services,Prior Year YTD,62886.0,2024,Q3
Total net sales,Prior Year YTD,293787.0,2024,Q3
Products,Prior Year YTD,146696.0,2024,Q3
Services,Prior Year YTD,18370.0,2024,Q3
Gross margin,Prior Year YTD,128721.0,2024,Q3
Research and development,Prior Year YTD,22608.0,2024,Q3
"Selling, general and administrative",Prior Year YTD,18781.0,2024,Q3
Total operating expenses,Prior Year YTD,41389.0,2024,Q3
Operating income,Prior Year YTD,87332.0,2024,Q3
Net income,Prior Year YTD,74039.0,2024,Q3
Products,Current Quarter,66886.0,2024,Q2
Services,Current Quarter,23867.0,2024,Q2
Total net sales,Current Quarter,90753.0,2024,Q2
Products,Current Quarter,42424.0,2024,Q2
Services,Current Quarter,6058.0,2024,Q2
Gross margin,Current Quarter,42271.0,2024,Q2
Research and development,Current Quarter,7903.0,2024,Q2
"Selling, general and administrative",Current Quarter,6468.0,2024,Q2
Total operating expenses,Current Quarter,14371.0,2024,Q2
Operating income,Current Quarter,27900.0,2024,Q2
Net income,Current Quarter,23636.0,2024,Q2
Products,Prior Year Quarter,73929.0,2024,Q2
Services,Prior Year Quarter,20907.0,2024,Q2
Total net sales,Prior Year Quarter,94836.0,2024,Q2
Products,Prior Year Quarter,46795.0,2024,Q2
Services,Prior Year Quarter,6065.0,2024,Q2
Gross margin,Prior Year Quarter,41976.0,2024,Q2
Research and development,Prior Year Quarter,7457.0,2024,Q2
"Selling, general and administrative",Prior Year Quarter,6201.0,2024,Q2
Total operating expenses,Prior Year Quarter,13658.0,2024,Q2
Operating income,Prior Year Quarter,28318.0,2024,Q2
Net income,Prior Year Quarter,24160.0,2024,Q2
Products,Current YTD,163344.0,2024,Q2
Services,Current YTD,46984.0,2024,Q2
Total net sales,Current YTD,210328.0,2024,Q2
Products,Current YTD,100864.0,2024,Q2
Services,Current YTD,12338.0,2024,Q2
Gross margin,Current YTD,97126.0,2024,Q2
Research and development,Current YTD,15599.0,2024,Q2
"Selling, general and administrative",Current YTD,13254.0,2024,Q2
Total operating expenses,Current YTD,28853.0,2024,Q2
Operating income,Current YTD,68273.0,2024,Q2
Net income,Current YTD,57552.0,2024,Q2
Products,Prior Year YTD,170317.0,2024,Q2
Services,Prior Year YTD,41673.0,2024,Q2
Total net sales,Prior Year YTD,211990.0,2024,Q2
Products,Prior Year YTD,107560.0,2024,Q2
Services,Prior Year YTD,12122.0,2024,Q2
Gross margin,Prior Year YTD,92308.0,2024,Q2
Research and development,Prior Year YTD,15166.0,2024,Q2
"Selling, general and administrative",Prior Year YTD,12808.0,2024,Q2
Total operating expenses,Prior Year YTD,27974.0,2024,Q2
Operating income,Prior Year YTD,64334.0,2024,Q2
Net income,Prior Year YTD,54158.0,2024,Q2
Products,Current Quarter,96458.0,2024,Q1
Services,Current Quarter,23117.0,2024,Q1
Total net sales,Current Quarter,119575.0,2024,Q1
Products,Current Quarter,58440.0,2024,Q1
Services,Current Quarter,6280.0,2024,Q1
Gross margin,Current Quarter,54855.0,2024,Q1
Research and development,Current Quarter,7696.0,2024,Q1
"Selling, general and administrative",Current Quarter,6786.0,2024,Q1
Total operating expenses,Current Quarter,14482.0,2024,Q1
Operating income,Current Quarter,40373.0,2024,Q1
Net income,Current Quarter,33916.0,2024,Q1
Products,Prior Year Quarter,96388.0,2024,Q1
Services,Prior Year Quarter,20766.0,2024,Q1
Total net sales,Prior Year Quarter,117154.0,2024,Q1
Products,Prior Year Quarter,60765.0,2024,Q1
Services,Prior Year Quarter,6057.0,2024,Q1
Gross margin,Prior Year Quarter,50332.0,2024,Q1
Research and development,Prior Year Quarter,7709.0,2024,Q1
"Selling, general and administrative",Prior Year Quarter,6607.0,2024,Q1
Total operating expenses,Prior Year Quarter,14316.0,2024,Q1
Operating income,Prior Year Quarter,36016.0,2024,Q1
Net income,Prior Year Quarter,29998.0,2024,Q1
Products,Current Quarter,316199.0,2022,Q4
Services,Current Quarter,78129.0,2022,Q4
Total net sales,Current Quarter,394328.0,2022,Q4
Products,Current Quarter,201471.0,2022,Q4
Services,Current Quarter,22075.0,2022,Q4
Gross margin,Current Quarter,170782.0,2022,Q4
Research and development,Current Quarter,26251.0,2022,Q4
"Selling, general and administrative",Current Quarter,25094.0,2022,Q4
Total operating expenses,Current Quarter,51345.0,2022,Q4
Operating income,Current Quarter,119437.0,2022,Q4
Net income,Current Quarter,99803.0,2022,Q4
Products,Prior Year Quarter,297392.0,2022,Q4
Services,Prior Year Quarter,68425.0,2022,Q4
Total net sales,Prior Year Quarter,365817.0,2022,Q4
Products,Prior Year Quarter,192266.0,2022,Q4
Services,Prior Year Quarter,20715.0,2022,Q4
Gross margin,Prior Year Quarter,152836.0,2022,Q4
Research and development,Prior Year Quarter,21914.0,2022,Q4
"Selling, general and administrative",Prior Year Quarter,21973.0,2022,Q4
Total operating expenses,Prior Year Quarter,43887.0,2022,Q4
Operating income,Prior Year Quarter,108949.0,2022,Q4
Net income,Prior Year Quarter,94680.0,2022,Q4
Products,Current Quarter,104429.0,2022,Q1
Services,Current Quarter,19516.0,2022,Q1
Total net sales,Current Quarter,123945.0,2022,Q1
Products,Current Quarter,64309.0,2022,Q1
Services,Current Quarter,5393.0,2022,Q1
Gross margin,Current Quarter,54243.0,2022,Q1
Research and development,Current Quarter,6306.0,2022,Q1
"Selling, general and administrative",Current Quarter,6449.0,2022,Q1
Total operating expenses,Current Quarter,12755.0,2022,Q1
Operating income,Current Quarter,41488.0,2022,Q1
Net income,Current Quarter,34630.0,2022,Q1
Products,Prior Year Quarter,95678.0,2022,Q1
Services,Prior Year Quarter,15761.0,2022,Q1
Total net sales,Prior Year Quarter,111439.0,2022,Q1
Products,Prior Year Quarter,62130.0,2022,Q1
Services,Prior Year Quarter,4981.0,2022,Q1
Gross margin,Prior Year Quarter,44328.0,2022,Q1
Research and development,Prior Year Quarter,5163.0,2022,Q1
"Selling, general and administrative",Prior Year Quarter,5631.0,2022,Q1
Total operating expenses,Prior Year Quarter,10794.0,2022,Q1
Operating income,Prior Year Quarter,33534.0,2022,Q1
Net income,Prior Year Quarter,28755.0,2022,Q1
Products,Current Quarter,77457.0,2022,Q2
Services,Current Quarter,19821.0,2022,Q2
Total net sales,Current Quarter,97278.0,2022,Q2
Products,Current Quarter,49290.0,2022,Q2
Services,Current Quarter,5429.0,2022,Q2
Gross margin,Current Quarter,42559.0,2022,Q2
Research and development,Current Quarter,6387.0,2022,Q2
"Selling, general and administrative",Current Quarter,6193.0,2022,Q2
Total operating expenses,Current Quarter,12580.0,2022,Q2
Operating income,Current Quarter,29979.0,2022,Q2
Net income,Current Quarter,25010.0,2022,Q2
Products,Prior Year Quarter,72683.0,2022,Q2
Services,Prior Year Quarter,16901.0,2022,Q2
Total net sales,Prior Year Quarter,89584.0,2022,Q2
Products,Prior Year Quarter,46447.0,2022,Q2
Services,Prior Year Quarter,5058.0,2022,Q2
Gross margin,Prior Year Quarter,38079.0,2022,Q2
Research and development,Prior Year Quarter,5262.0,2022,Q2
"Selling, general and administrative",Prior Year Quarter,5314.0,2022,Q2
Total operating expenses,Prior Year Quarter,10576.0,2022,Q2
Operating income,Prior Year Quarter,27503.0,2022,Q2
Net income,Prior Year Quarter,23630.0,2022,Q2
Products,Current YTD,181886.0,2022,Q2
Services,Current YTD,39337.0,2022,Q2
Total net sales,Current YTD,221223.0,2022,Q2
Products,Current YTD,113599.0,2022,Q2
Services,Current YTD,10822.0,2022,Q2
Gross margin,Current YTD,96802.0,2022,Q2
Research and development,Current YTD,12693.0,2022,Q2
"Selling, general and administrative",Current YTD,12642.0,2022,Q2
Total operating expenses,Current YTD,25335.0,2022,Q2
Operating income,Current YTD,71467.0,2022,Q2
Net income,Current YTD,59640.0,2022,Q2
Products,Prior Year YTD,168361.0,2022,Q2
Services,Prior Year YTD,32662.0,2022,Q2
Total net sales,Prior Year YTD,201023.0,2022,Q2
Products,Prior Year YTD,108577.0,2022,Q2
Services,Prior Year YTD,10039.0,2022,Q2
Gross margin,Prior Year YTD,82407.0,2022,Q2
Research and development,Prior Year YTD,10425.0,2022,Q2
"Selling, general and administrative",Prior Year YTD,10945.0,2022,Q2
Total operating expenses,Prior Year YTD,21370.0,2022,Q2
Operating income,Prior Year YTD,61037.0,2022,Q2
Net income,Prior Year YTD,52385.0,2022,Q2
Products,Current Quarter,63355.0,2022,Q3
Services,Current Quarter,19604.0,2022,Q3
Total net sales,Current Quarter,82959.0,2022,Q3
Products,Current Quarter,41485.0,2022,Q3
Services,Current Quarter,5589.0,2022,Q3
Gross margin,Current Quarter,35885.0,2022,Q3
Research and development,Current Quarter,6797.0,2022,Q3
"Selling, general and administrative",Current Quarter,6012.0,2022,Q3
Total operating expenses,Current Quarter,12809.0,2022,Q3
Operating income,Current Quarter,23076.0,2022,Q3
Net income,Current Quarter,19442.0,2022,Q3
Products,Prior Year Quarter,63948.0,2022,Q3
Services,Prior Year Quarter,17486.0,2022,Q3
Total net sales,Prior Year Quarter,81434.0,2022,Q3
Products,Prior Year Quarter,40899.0,2022,Q3
Services,Prior Year Quarter,5280.0,2022,Q3
Gross margin,Prior Year Quarter,35255.0,2022,Q3
Research and development,Prior Year Quarter,5717.0,2022,Q3
"Selling, general and administrative",Prior Year Quarter,5412.0,2022,Q3
Total operating expenses,Prior Year Quarter,11129.0,2022,Q3
Operating income,Prior Year Quarter,24126.0,2022,Q3
Net income,Prior Year Quarter,21744.0,2022,Q3
Products,Current YTD,245241.0,2022,Q3
Services,Current YTD,58941.0,2022,Q3
Total net sales,Current YTD,304182.0,2022,Q3
Products,Current YTD,155084.0,2022,Q3
Services,Current YTD,16411.0,2022,Q3
Gross margin,Current YTD,132687.0,2022,Q3
Research and development,Current YTD,19490.0,2022,Q3
"Selling, general and administrative",Current YTD,18654.0,2022,Q3
Total operating expenses,Current YTD,38144.0,2022,Q3
Operating income,Current YTD,94543.0,2022,Q3
Net income,Current YTD,79082.0,2022,Q3
Products,Prior Year YTD,232309.0,2022,Q3
Services,Prior Year YTD,50148.0,2022,Q3
Total net sales,Prior Year YTD,282457.0,2022,Q3
Products,Prior Year YTD,149476.0,2022,Q3
Services,Prior Year YTD,15319.0,2022,Q3
Gross margin,Prior Year YTD,117662.0,2022,Q3
Research and development,Prior Year YTD,16142.0,2022,Q3
"Selling, general and administrative",Prior Year YTD,16357.0,2022,Q3
Total operating expenses,Prior Year YTD,32499.0,2022,Q3
Operating income,Prior Year YTD,85163.0,2022,Q3
Net income,Prior Year YTD,74129.0,2022,Q3
Products,Current Quarter,298085.0,2023,Q4
Services,Current Quarter,85200.0,2023,Q4
Total net sales,Current Quarter,383285.0,2023,Q4
Products,Current Quarter,189282.0,2023,Q4
Services,Current Quarter,24855.0,2023,Q4
Gross margin,Current Quarter,169148.0,2023,Q4
Research and development,Current Quarter,29915.0,2023,Q4
"Selling, general and administrative",Current Quarter,24932.0,2023,Q4
Total operating expenses,Current Quarter,54847.0,2023,Q4
Operating income,Current Quarter,114301.0,2023,Q4
Net income,Current Quarter,96995.0,2023,Q4
Products,Prior Year Quarter,316199.0,2023,Q4
Services,Prior Year Quarter,78129.0,2023,Q4
Total net sales,Prior Year Quarter,394328.0,2023,Q4
Products,Prior Year Quarter,201471.0,2023,Q4
Services,Prior Year Quarter,22075.0,2023,Q4
Gross margin,Prior Year Quarter,170782.0,2023,Q4
Research and development,Prior Year Quarter,26251.0,2023,Q4
"Selling, general and administrative",Prior Year Quarter,25094.0,2023,Q4
Total operating expenses,Prior Year Quarter,51345.0,2023,Q4
Operating income,Prior Year Quarter,119437.0,2023,Q4
Net income,Prior Year Quarter,99803.0,2023,Q4
Products,Current Quarter,60584.0,2023,Q3
Services,Current Quarter,21213.0,2023,Q3
Total net sales,Current Quarter,81797.0,2023,Q3
Products,Current Quarter,39136.0,2023,Q3
Services,Current Quarter,6248.0,2023,Q3
Gross margin,Current Quarter,36413.0,2023,Q3
Research and development,Current Quarter,7442.0,2023,Q3
"Selling, general and administrative",Current Quarter,5973.0,2023,Q3
Total operating expenses,Current Quarter,13415.0,2023,Q3
Operating income,Current Quarter,22998.0,2023,Q3
Net income,Current Quarter,19881.0,2023,Q3
Products,Prior Year Quarter,63355.0,2023,Q3
Services,Prior Year Quarter,19604.0,2023,Q3
Total net sales,Prior Year Quarter,82959.0,2023,Q3
Products,Prior Year Quarter,41485.0,2023,Q3
Services,Prior Year Quarter,5589.0,2023,Q3
Gross margin,Prior Year Quarter,35885.0,2023,Q3
Research and development,Prior Year Quarter,6797.0,2023,Q3
"Selling, general and administrative",Prior Year Quarter,6012.0,2023,Q3
Total operating expenses,Prior Year Quarter,12809.0,2023,Q3
Operating income,Prior Year Quarter,23076.0,2023,Q3
Net income,Prior Year Quarter,19442.0,2023,Q3
Products,Current YTD,230901.0,2023,Q3
Services,Current YTD,62886.0,2023,Q3
Total net sales,Current YTD,293787.0,2023,Q3
Products,Current YTD,146696.0,2023,Q3
Services,Current YTD,18370.0,2023,Q3
Gross margin,Current YTD,128721.0,2023,Q3
Research and development,Current YTD,22608.0,2023,Q3
"Selling, general and administrative",Current YTD,18781.0,2023,Q3
Total operating expenses,Current YTD,41389.0,2023,Q3
Operating income,Current YTD,87332.0,2023,Q3
Net income,Current YTD,74039.0,2023,Q3
Products,Prior Year YTD,245241.0,2023,Q3
Services,Prior Year YTD,58941.0,2023,Q3
Total net sales,Prior Year YTD,304182.0,2023,Q3
Products,Prior Year YTD,155084.0,2023,Q3
Services,Prior Year YTD,16411.0,2023,Q3
Gross margin,Prior Year YTD,132687.0,2023,Q3
Research and development,Prior Year YTD,19490.0,2023,Q3
"Selling, general and administrative",Prior Year YTD,18654.0,2023,Q3
Total operating expenses,Prior Year YTD,38144.0,2023,Q3
Operating income,Prior Year YTD,94543.0,2023,Q3
Net income,Prior Year YTD,79082.0,2023,Q3
Products,Current Quarter,73929.0,2023,Q2
Services,Current Quarter,20907.0,2023,Q2
Total net sales,Current Quarter,94836.0,2023,Q2
Products,Current Quarter,46795.0,2023,Q2
Services,Current Quarter,6065.0,2023,Q2
Gross margin,Current Quarter,41976.0,2023,Q2
Research and development,Current Quarter,7457.0,2023,Q2
"Selling, general and administrative",Current Quarter,6201.0,2023,Q2
Total operating expenses,Current Quarter,13658.0,2023,Q2
Operating income,Current Quarter,28318.0,2023,Q2
Net income,Current Quarter,24160.0,2023,Q2
Products,Prior Year Quarter,77457.0,2023,Q2
Services,Prior Year Quarter,19821.0,2023,Q2
Total net sales,Prior Year Quarter,97278.0,2023,Q2
Products,Prior Year Quarter,49290.0,2023,Q2
Services,Prior Year Quarter,5429.0,2023,Q2
Gross margin,Prior Year Quarter,42559.0,2023,Q2
Research and development,Prior Year Quarter,6387.0,2023,Q2
"Selling, general and administrative",Prior Year Quarter,6193.0,2023,Q2
Total operating expenses,Prior Year Quarter,12580.0,2023,Q2
Operating income,Prior Year Quarter,29979.0,2023,Q2
Net income,Prior Year Quarter,25010.0,2023,Q2
Products,Current YTD,170317.0,2023,Q2
Services,Current YTD,41673.0,2023,Q2
Total net sales,Current YTD,211990.0,2023,Q2
Products,Current YTD,107560.0,2023,Q2
Services,Current YTD,12122.0,2023,Q2
Gross margin,Current YTD,92308.0,2023,Q2
Research and development,Current YTD,15166.0,2023,Q2
"Selling, general and administrative",Current YTD,12808.0,2023,Q2
Total operating expenses,Current YTD,27974.0,2023,Q2
Operating income,Current YTD,64334.0,2023,Q2
Net income,Current YTD,54158.0,2023,Q2
Products,Prior Year YTD,181886.0,2023,Q2
Services,Prior Year YTD,39337.0,2023,Q2
Total net sales,Prior Year YTD,221223.0,2023,Q2
Products,Prior Year YTD,113599.0,2023,Q2
Services,Prior Year YTD,10822.0,2023,Q2
Gross margin,Prior Year YTD,96802.0,2023,Q2
Research and development,Prior Year YTD,12693.0,2023,Q2
"Selling, general and administrative",Prior Year YTD,12642.0,2023,Q2
Total operating expenses,Prior Year YTD,25335.0,2023,Q2
Operating income,Prior Year YTD,71467.0,2023,Q2
Net income,Prior Year YTD,59640.0,2023,Q2
Products,Current Quarter,96388.0,2023,Q1
Services,Current Quarter,20766.0,2023,Q1
Total net sales,Current Quarter,117154.0,2023,Q1
Products,Current Quarter,60765.0,2023,Q1
Services,Current Quarter,6057.0,2023,Q1
Gross margin,Current Quarter,50332.0,2023,Q1
Research and development,Current Quarter,7709.0,2023,Q1
"Selling, general and administrative",Current Quarter,6607.0,2023,Q1
Total operating expenses,Current Quarter,14316.0,2023,Q1
Operating income,Current Quarter,36016.0,2023,Q1
Net income,Current Quarter,29998.0,2023,Q1
Products,Prior Year Quarter,104429.0,2023,Q1
Services,Prior Year Quarter,19516.0,2023,Q1
Total net sales,Prior Year Quarter,123945.0,2023,Q1
Products,Prior Year Quarter,64309.0,2023,Q1
Services,Prior Year Quarter,5393.0,2023,Q1
Gross margin,Prior Year Quarter,54243.0,2023,Q1
Research and development,Prior Year Quarter,6306.0,2023,Q1
"Selling, general and administrative",Prior Year Quarter,6449.0,2023,Q1
Total operating expenses,Prior Year Quarter,12755.0,2023,Q1
Operating income,Prior Year Quarter,41488.0,2023,Q1
Net income,Prior Year Quarter,34630.0,2023,Q1
